category,message
spam,Your account has been suspended. Verify immediately to restore access.
ham,"Good morning, have a great day ahead!"
ham,Let’s catch up sometime this weekend.
ham,Are you available for a quick call?
spam,Claim your free vacation to Hawaii. Limited time offer!
spam,Your loan is approved! Click the link to proceed.
spam,Claim your free vacation to Hawaii. Limited time offer!
ham,Can you please send me the notes from class?
spam,Your loan is approved! Click the link to proceed.
spam,You’ve been selected for a $1000 Walmart gift card. Reply YES to claim.
spam,Exclusive offer! Get 50% off on your next purchase. Visit our website now.
ham,"Good morning, have a great day ahead!"
ham,"Good morning, have a great day ahead!"
ham,What time does the movie start tonight?
ham,"Hey, are we still meeting for lunch today?"
spam,Congratulations! You've won a free iPhone. Click here to claim your prize.
ham,Are you available for a quick call?
spam,You’ve been selected for a $1000 Walmart gift card. Reply YES to claim.
spam,Win cash now!!! Send WIN to 88888 and get lucky today.
spam,Lowest prices ever! Buy 1 get 1 free on all items.
spam,You’ve been selected for a $1000 Walmart gift card. Reply YES to claim.
ham,I’ll call you once I reach home.
spam,Win cash now!!! Send WIN to 88888 and get lucky today.
ham,Are you available for a quick call?
ham,"Good morning, have a great day ahead!"
ham,Thanks for your help yesterday!
ham,"Good morning, have a great day ahead!"
spam,Congratulations! You've won a free iPhone. Click here to claim your prize.
ham,Thanks for your help yesterday!
spam,Lowest prices ever! Buy 1 get 1 free on all items.
spam,Hurry! Your car insurance has expired. Renew now to avoid penalty.
spam,Hurry! Your car insurance has expired. Renew now to avoid penalty.
ham,I’ll call you once I reach home.
ham,Don’t forget to bring the book tomorrow.
spam,Win cash now!!! Send WIN to 88888 and get lucky today.
ham,Are you available for a quick call?
spam,Your account has been suspended. Verify immediately to restore access.
ham,Let’s catch up sometime this weekend.
spam,Your loan is approved! Click the link to proceed.
spam,Get your credit score checked for free now!
spam,You’ve been selected for a $1000 Walmart gift card. Reply YES to claim.
spam,Claim your free vacation to Hawaii. Limited time offer!
ham,I’ll call you once I reach home.
ham,What time does the movie start tonight?
ham,Let’s catch up sometime this weekend.
spam,You’ve been selected for a $1000 Walmart gift card. Reply YES to claim.
spam,Hurry! Your car insurance has expired. Renew now to avoid penalty.
ham,Are you available for a quick call?
ham,Can you please send me the notes from class?
ham,Please confirm your attendance for tomorrow’s event.
ham,Don’t forget to bring the book tomorrow.
spam,Win cash now!!! Send WIN to 88888 and get lucky today.
spam,Congratulations! You've won a free iPhone. Click here to claim your prize.
spam,Your account has been suspended. Verify immediately to restore access.
ham,What time does the movie start tonight?
spam,Congratulations! You've won a free iPhone. Click here to claim your prize.
spam,Your account has been suspended. Verify immediately to restore access.
ham,Let’s catch up sometime this weekend.
ham,Can you please send me the notes from class?
ham,Don’t forget to bring the book tomorrow.
ham,I’ll call you once I reach home.
spam,Get your credit score checked for free now!
spam,Lowest prices ever! Buy 1 get 1 free on all items.
spam,You’ve been selected for a $1000 Walmart gift card. Reply YES to claim.
spam,Claim your free vacation to Hawaii. Limited time offer!
spam,You’ve been selected for a $1000 Walmart gift card. Reply YES to claim.
spam,Exclusive offer! Get 50% off on your next purchase. Visit our website now.
ham,What time does the movie start tonight?
ham,What time does the movie start tonight?
ham,Thanks for your help yesterday!
ham,I’ll call you once I reach home.
ham,Thanks for your help yesterday!
spam,Lowest prices ever! Buy 1 get 1 free on all items.
ham,Are you available for a quick call?
spam,Win cash now!!! Send WIN to 88888 and get lucky today.
ham,Don’t forget to bring the book tomorrow.
spam,Your loan is approved! Click the link to proceed.
spam,Your loan is approved! Click the link to proceed.
ham,What time does the movie start tonight?
spam,Get your credit score checked for free now!
ham,"Hey, are we still meeting for lunch today?"
spam,Claim your free vacation to Hawaii. Limited time offer!
spam,Lowest prices ever! Buy 1 get 1 free on all items.
spam,Claim your free vacation to Hawaii. Limited time offer!
ham,Can you please send me the notes from class?
spam,Hurry! Your car insurance has expired. Renew now to avoid penalty.
spam,Win cash now!!! Send WIN to 88888 and get lucky today.
ham,Thanks for your help yesterday!
spam,Exclusive offer! Get 50% off on your next purchase. Visit our website now.
spam,Hurry! Your car insurance has expired. Renew now to avoid penalty.
ham,Are you available for a quick call?
spam,Exclusive offer! Get 50% off on your next purchase. Visit our website now.
spam,Claim your free vacation to Hawaii. Limited time offer!
spam,Lowest prices ever! Buy 1 get 1 free on all items.
spam,You’ve been selected for a $1000 Walmart gift card. Reply YES to claim.
ham,Can you please send me the notes from class?
spam,Congratulations! You've won a free iPhone. Click here to claim your prize.
spam,Hurry! Your car insurance has expired. Renew now to avoid penalty.
ham,Let’s catch up sometime this weekend.
spam,Exclusive offer! Get 50% off on your next purchase. Visit our website now.
